MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
301183011	2611	H1204	H120400	Chronic infective rhinitis	195770009	301183011		32
301194010	95	H1214	H121400	Pharyngitis keratosa	195779005	301194010		32
301195011	290	H1215	H121500	Pharyngitis sicca	195780008	301195011		32
301198013	123	H1216	H121600	Chronic follicular pharyngitis	195782000	301198013		32
301199017	2600	H121z	H121z00	Chronic pharyngitis NOS	140004	1284016		32
301200019	219	H12z	H12z.00	Chronic pharyngitis and nasopharyngitis NOS	47841006	79723013		32
301210011	49031	H135	H135.00	Recurrent sinusitis	195788001	301210011		32
301211010	4448	H13y	H13y.00	Other chronic sinusitis	40055000	66718013		32
301212015	4218	H13y1	H13y100	Pansinusitis	195790000	301212015		32
301213013	209	H13yz	H13yz00	Other chronic sinusitis NOS	40055000	66718013		32
301214019	89694	H13z	H13z.00	Chronic sinusitis NOS	40055000	66718013		32
301229017	5615	H143	H143.00	Chronic adenotonsillitis	195798007	301229017		32
301234018	344	H14y5	H14y500	Caseous tonsillitis	195803003	301234018		32
301235017	1120	H14y6	H14y600	Lingular tonsillitis	195804009	301235017		32
301241012	1151	H16	H16..00	Chronic laryngitis and laryngotracheitis	195810009	301241012		32
301242017	1040	H1600	H160000	Chronic simple laryngitis	195811008	301242017		32
301243010	2773	H1601	H160100	Chronic catarrhal laryngitis	195812001	301243010		32
301248018	711	H16z	H16z.00	Chronic laryngitis NOS	29951006	50120012		32
301300017	310	H1y26	H1y2600	Pharynx or nasopharynx abscess	195836002	301300017		32
301323019	543	H1y54	H1y5400	Singers' chorditis	57713008	3638190011		32
301324013	6	H1y55	H1y5500	Fibrinous chorditis	195854003	301324013		32
301325014	23	H1y57	H1y5700	Chorditis vocalis inferior	195855002	301325014		32
301357010	83788	H2	H2...00	Pneumonia and influenza	195878008	301357010		32
301362011	1575	H201	H201.00	Pneumonia due to respiratory syncytial virus	195881003	301362011		32
301363018	6763	H20y	H20y.00	Viral pneumonia NEC	75570004	125510013		32
301364012	4268	H20z	H20z.00	Viral pneumonia NOS	75570004	125510013		32
301368010	13523	H22	H22..00	Other bacterial pneumonia	53084003	88303013		32
301370018	407	H22y	H22y.00	Pneumonia due to other specified bacteria	53084003	88303013		32
301375011	15870	H22yz	H22yz00	Pneumonia due to bacteria NOS	53084003	88303013		32
